response_id,timepoint,sad,pos,rum,condition
R_2aJE1Imau8QZwwq,postlistening,14,5,3.6666666666666665,control
R_30xe2wYEqfQ6M9W,baseline,8,17,4,self
R_30xe2wYEqfQ6M9W,postinduction,14,5,4,self
R_30xe2wYEqfQ6M9W,postlistening,12,5,4,self
R_2V9p3iBrdicbnNF,baseline,13,14,4.083333333333333,sad
R_2V9p3iBrdicbnNF,postinduction,19,8,4.083333333333333,sad
R_2V9p3iBrdicbnNF,postlistening,12,6,4.083333333333333,sad
R_3D2fsQPzLO9hJ17,baseline,11,15,3.8333333333333335,control
R_3D2fsQPzLO9hJ17,postinduction,19,10,3.8333333333333335,control
R_3D2fsQPzLO9hJ17,postlistening,16,9,3.8333333333333335,control
R_3gSfn6DpcT6fLNp,baseline,8,15,3.8333333333333335,self
R_3gSfn6DpcT6fLNp,postinduction,12,6,3.8333333333333335,self
R_3gSfn6DpcT6fLNp,postlistening,11,6,3.8333333333333335,self
R_1hTlcozr09bXAna,baseline,13,5,2.4166666666666665,self
R_1hTlcozr09bXAna,postinduction,12,5,2.4166666666666665,self
R_1hTlcozr09bXAna,postlistening,9,8,2.4166666666666665,self
R_2DRNoBvz24dOjHv,baseline,15,10,4.166666666666667,control
R_2DRNoBvz24dOjHv,postinduction,18,13,4.166666666666667,control
R_2DRNoBvz24dOjHv,postlistening,17,7,4.166666666666667,control
R_300pHStCbIFBDkD,baseline,16,16,3.5833333333333335,sad
R_300pHStCbIFBDkD,postinduction,21,9,3.5833333333333335,sad
R_300pHStCbIFBDkD,postlistening,21,7,3.5833333333333335,sad
R_2dhz8B08nRAU00v,baseline,8,12,3.5,sad
R_2dhz8B08nRAU00v,postinduction,10,8,3.5,sad
R_2dhz8B08nRAU00v,postlistening,10,6,3.5,sad
R_2OP8RZdoY6j8jnJ,baseline,8,5,3.75,control
R_2OP8RZdoY6j8jnJ,postinduction,11,5,3.75,control
R_2OP8RZdoY6j8jnJ,postlistening,9,5,3.75,control
R_12hxxI9vvAe9SH4,baseline,23,14,3.6666666666666665,self
R_12hxxI9vvAe9SH4,postinduction,30,9,3.6666666666666665,self
