ID,song_artist,valence,energy,artist_rtn,song_rtn
92,Suddenly I See_KT Tunstall,0.664,0.767,KT Tunstall,Suddenly I See
93,Wake Me up When September Ends_Green Day,0.146,0.814,Green Day,Wake Me up When September Ends
94,To Build A Home_The Cinematic Orchestra,0.0774,0.128,The Cinematic Orchestra,To Build A Home
96,Somewhere over the Rainbow_Judy Garland,0.106,0.224,Judy Garland,Somewhere over the Rainbow
97,Time To Say Goodbye (Con Te Partirò)_Andrea Bocelli,0.445,0.435,Andrea Bocelli,Time To Say Goodbye (Con Te Partirò)
99,The Scientist_Coldplay,0.212,0.442,Coldplay,The Scientist
100,Six Years_Old Gray,0.0874,0.74,Old Gray,Six Years
101,White Ferrari_Frank Ocean,0.219,0.0924,Frank Ocean,White Ferrari
102,Love My Way_The Psychedelic Furs,0.52,0.85,The Psychedelic Furs,Love My Way
103,Monday Nites( I Always Stay Up Late On )_The JBJ Band,0.787,0.951,The JBJ Band,Monday Nites( I Always Stay Up Late On )
104,Beauty and the Beast_Bugzy Malone,0.384,0.734,Bugzy Malone,Beauty and the Beast
105,Starman - 2012 Remaster_David Bowie,0.55,0.45,David Bowie,Starman - 2012 Remaster
107,Where's My Love - Piano Solo_SYML,0.135,0.0511,SYML,Where's My Love - Piano Solo
108,Make You Feel My Love_Adele,0.0896,0.18,Adele,Make You Feel My Love
112,This Woman's Work_Kate Bush,0.169,0.113,Kate Bush,This Woman's Work
113,What Would You Do_Bastille,0.36,0.732,Bastille,What Would You Do
117,If It Means a Lot to You_A Day To Remember,0.44,0.536,A Day To Remember,If It Means a Lot to You
118,Staring Through My Rear View (feat. Dwele)_2Pac,0.78,0.86,2Pac,Staring Through My Rear View (feat. Dwele)
119,Hello_Adele,0.289,0.451,Adele,Hello
120,Otherside (feat. Fences) [Ryan Lewis Remix]_Macklemore & Ryan Lewis,0.23,0.568,Macklemore & Ryan Lewis,Otherside (feat. Fences) [Ryan Lewis Remix]
121,Tintin in Tibet_Mount Eerie,0.173,0.27,Mount Eerie,Tintin in Tibet
122,These Are The Days Of Our Lives - 2011 Remaster_Queen,0.55,0.402,Queen,These Are The Days Of Our Lives - 2011 Remaster
123,Things_Louis Cole,0.263,0.479,Louis Cole,Things
125,If Only_Andrea Bocelli,0.0757,0.207,Andrea Bocelli,If Only
127,Lost Without You_Freya Ridings,0.0976,0.136,Freya Ridings,Lost Without You
128,The Scientist_Coldplay,0.212,0.442,Coldplay,The Scientist
129,I'll Never Love Again - Film Version_Lady Gaga,0.221,0.34,Lady Gaga,I'll Never Love Again - Film Version
129,I'll Never Love Again - Film Version - Radio Edit_Bradley Cooper,0.221,0.34,Bradley Cooper,I'll Never Love Again - Film Version - Radio Edit
130,Fix You_Coldplay,0.123,0.418,Coldplay,Fix You
131,Don't Look Back In Anger - Remastered_Oasis,0.335,0.922,Oasis,Don't Look Back In Anger - Remastered
132,What I've Done_Linkin Park,0.287,0.93,Linkin Park,What I've Done
133,Iris_The Goo Goo Dolls,0.497,0.715,The Goo Goo Dolls,Iris
134,We Don't Have To Take Our Clothes Off_Ella Eyre,0.332,0.231,Ella Eyre,We Don't Have To Take Our Clothes Off
135,Goodbye My Lover_James Blunt,0.273,0.261,James Blunt,Goodbye My Lover
136,Peak - Stripped_Anne-Marie,0.228,0.199,Anne-Marie,Peak - Stripped
137,The Unforgiven_Metallica,0.251,0.597,Metallica,The Unforgiven
138,Goodbye My Lover_James Blunt,0.273,0.261,James Blunt,Goodbye My Lover
139,All of Me_John Legend,0.331,0.264,John Legend,All of Me
140,Broken_Lund,0.145,0.581,Lund,Broken
141,Let It Go_James Bay,0.246,0.311,James Bay,Let It Go
142,Falling Away with You_Muse,0.272,0.683,Muse,Falling Away with You
143,SAD!_XXXTENTACION,0.473,0.613,XXXTENTACION,SAD!
144,Zombie_The Cranberries,0.305,0.635,The Cranberries,Zombie
146,Fallen Angel_Three Days Grace,0.218,0.911,Three Days Grace,Fallen Angel
147,Need You Now_Lady Antebellum,0.231,0.622,Lady Antebellum,Need You Now
148,"My Love, My Life_ABBA",0.226,0.426,ABBA,"My Love, My Life"
149,Until Forever_SS501,0.267,0.702,SS501,Until Forever
150,Mad World (Feat. Michael Andrews)_Gary Jules,0.304,0.0581,Gary Jules,Mad World (Feat. Michael Andrews)
151,Dancing With Tears In My Eyes_Kesha,0.674,0.917,Kesha,Dancing With Tears In My Eyes
152,Life on Mars? - 2015 Remaster_David Bowie,0.216,0.384,David Bowie,Life on Mars? - 2015 Remaster
153,A Bad Dream_Keane,0.279,0.729,Keane,A Bad Dream
154,Me & You Together Song_The 1975,0.38,0.77,The 1975,Me & You Together Song
155,when the party's over_Billie Eilish,0.198,0.111,Billie Eilish,when the party's over
