song_artist,word_count,sad_count,pos_count,neg_count,sad_total_ratio,neg_pos_ratio,sad_pos_ratio,bias,ID,valence,energy,artist_rtn,song_rtn
"You'll Be In My Heart - From ""Tarzan""/Soundtrack Version_Phil Collins",2,0,0,0,0.1353,1,1,Equal,241,0.655,0.744,Phil Collins,"You'll Be In My Heart - From ""Tarzan""/Soundtrack Version"
Sleepover_Hayley Kiyoko,83,6,9,8,0,0.3679,0.0498,Positive,242,0.547,0.81,Hayley Kiyoko,Sleepover
Bye Bye_Mariah Carey,192,12,16,11,0,0.0067,0.0183,Positive,243,0.84,0.585,Mariah Carey,Bye Bye
Good Riddance (Time of Your Life)_Green Day,43,0,8,4,0,0.0183,3e-4,Positive,244,0.648,0.432,Green Day,Good Riddance (Time of Your Life)
You Are Not Alone_Michael Jackson,212,44,8,24,0,8886110.5205,4311231547115195,Negative,246,0.256,0.402,Michael Jackson,You Are Not Alone
Jonathan David_Belle & Sebastian,52,2,13,6,0,9e-4,0,Positive,247,0.868,0.774,Belle & Sebastian,Jonathan David
Viva La Vida_Coldplay,119,6,19,9,0,0,0,Positive,248,0.416,0.619,Coldplay,Viva La Vida
All By Myself_Céline Dion,37,1,5,2,0,0.0498,0.0183,Positive,249,0.0773,0.325,Céline Dion,All By Myself
To Build A Home_The Cinematic Orchestra,864,48,80,112,0,78962960182680.7,0,Negative,250,0.0774,0.128,The Cinematic Orchestra,To Build A Home
End Of The Road_Boyz II Men,141,12,31,21,0,0,0,Positive,251,0.529,0.427,Boyz II Men,End Of The Road
The Christmas Shoes_Newsong,126,4,20,8,0,0,0,Positive,252,0.281,0.386,Newsong,The Christmas Shoes
Strawberry Swing_Coldplay,70,4,8,10,0,7.3891,0.0183,Negative,253,0.429,0.663,Coldplay,Strawberry Swing
Asleep - 2011 Remaster_The Smiths,1,0,0,0,0.3679,1,1,Equal,254,0.215,0.255,The Smiths,Asleep - 2011 Remaster
Lucid Dreams_Juice WRLD,131,14,14,27,0,442413.392,1,Negative,255,0.218,0.566,Juice WRLD,Lucid Dreams
Hurt_Johnny Cash,608,96,96,160,0,6235149080811617e12,1,Negative,256,0.163,0.392,Johnny Cash,Hurt
Wish You Were Here_Pink Floyd,48,6,9,11,0,7.3891,0.0498,Negative,257,0.375,0.262,Pink Floyd,Wish You Were Here
How to Save a Life_The Fray,1600,224,416,384,0,0,0,Positive,258,0.361,0.743,The Fray,How to Save a Life
Stop Crying Your Heart Out_Oasis,896,192,64,192,0,38877084059945954e39,38877084059945954e39,Negative,259,0.083,0.566,Oasis,Stop Crying Your Heart Out
Ashes to Ashes - 2017 Remaster_David Bowie,1,0,0,0,0.3679,1,1,Equal,260,0.866,0.743,David Bowie,Ashes to Ashes - 2017 Remaster
Human_The Killers,77,3,10,7,0,0.0498,9e-4,Positive,261,0.582,0.8,The Killers,Human
I'll Never Love Again - Film Version_Lady Gaga,1216,80,240,176,0,0,0,Positive,262,0.221,0.34,Lady Gaga,I'll Never Love Again - Film Version
I'll See You Again_Westlife,66,20,5,23,0,65659969.1373,3269017.3725,Negative,265,0.0674,0.348,Westlife,I'll See You Again
Fix You_Coldplay,423,27,81,45,0,0,0,Positive,266,0.123,0.418,Coldplay,Fix You
"John Wayne Gacy, Jr._Sufjan Stevens",63,5,7,5,0,0.1353,0.1353,Positive,268,0.183,0.179,Sufjan Stevens,"John Wayne Gacy, Jr."
Breathe Me_Sia,136,16,16,36,0,485165195.4098,1,Negative,269,0.19,0.621,Sia,Breathe Me
True Love Waits_Radiohead,32,10,6,11,0,148.4132,54.5982,Negative,270,0.0379,0.132,Radiohead,True Love Waits
Somewhere Only We Know_Lily Allen,30,0,5,2,0,0.0498,0.0067,Positive,271,0.278,0.286,Lily Allen,Somewhere Only We Know
Somewhere Over The Rainbow_What A Wonderful World_Israel Kamakawiwo'ole,316,16,64,16,0,0,0,Positive,273,0.678,0.168,Israel Kamakawiwo'ole,Somewhere Over The Rainbow_What A Wonderful World
"Read All About It, Pt. III_Emeli Sandé",134,12,18,23,0,148.4132,0.0025,Negative,274,0.337,0.44,Emeli Sandé,"Read All About It, Pt. III"
Crosses_José González,1,0,0,0,0.3679,1,1,Equal,275,0.317,0.372,José González,Crosses
Floating in the Forth_Frightened Rabbit,69,5,8,8,0,1,0.0498,Equal,276,0.178,0.665,Frightened Rabbit,Floating in the Forth
Dancing On My Own_Calum Scott,272,16,64,12,0,0,0,Positive,278,0.236,0.173,Calum Scott,Dancing On My Own
Bruises_Lewis Capaldi,96,11,16,18,0,7.3891,0.0067,Negative,279,0.361,0.308,Lewis Capaldi,Bruises
My Immortal_Amy Lee,1,0,0,0,0.3679,1,1,Equal,280,0.0783,0.282,Amy Lee,My Immortal
A Change Of Heart_The 1975,87,7,8,15,0,1096.6332,0.3679,Negative,281,0.528,0.51,The 1975,A Change Of Heart
"You'll Be In My Heart - From ""Tarzan""/Soundtrack Version_Phil Collins",2,0,0,0,0.1353,1,1,Equal,282,0.655,0.744,Phil Collins,"You'll Be In My Heart - From ""Tarzan""/Soundtrack Version"
Into Dust_Mazzy Star,32,3,2,13,0,59874.1417,2.7183,Negative,283,0.122,0.132,Mazzy Star,Into Dust
Concrete Angel_Martina McBride,89,5,9,10,0,2.7183,0.0183,Negative,284,0.274,0.392,Martina McBride,Concrete Angel
Lost Without You_Freya Ridings,1200,300,150,300,0,13937095806663797e49,13937095806663797e49,Negative,285,0.0976,0.136,Freya Ridings,Lost Without You
Angels_Robbie Williams,300,24,80,48,0,0,0,Positive,286,0.252,0.586,Robbie Williams,Angels
Don't Go Away - Remastered_Oasis,1,0,0,0,0.3679,1,1,Equal,288,0.178,0.831,Oasis,Don't Go Away - Remastered
Don't Look Back In Anger - Remastered_Oasis,2,0,0,0,0.1353,1,1,Equal,290,0.335,0.922,Oasis,Don't Look Back In Anger - Remastered
Seigfried_Frank Ocean,136,12,13,7,0,0.0025,0.3679,Positive,291,0.37,0.255,Frank Ocean,Seigfried
Maybe_Yiruma,1,0,0,0,0.3679,1,1,Equal,293,0.223,0.226,Yiruma,Maybe
Let Her Go_Passenger,448,76,88,80,0,3e-4,0,Positive,294,0.244,0.545,Passenger,Let Her Go
All I Want_Kodaline,35,4,3,4,0,2.7183,2.7183,Negative,295,0.162,0.412,Kodaline,All I Want
Dosed_Red Hot Chili Peppers,59,1,3,1,0,0.1353,0.1353,Positive,296,0.335,0.8,Red Hot Chili Peppers,Dosed
Back To December_Taylor Swift,115,7,20,8,0,0,0,Positive,297,0.286,0.67,Taylor Swift,Back To December
I'll Never Love Again - Film Version_Lady Gaga,1216,80,240,176,0,0,0,Positive,298,0.221,0.34,Lady Gaga,I'll Never Love Again - Film Version
Cancer_My Chemical Romance,39,4,8,3,0,0.0067,0.0183,Positive,300,0.222,0.515,My Chemical Romance,Cancer
These Are The Days Of Our Lives - 2011 Remaster_Queen,2,0,0,0,0.1353,1,1,Equal,301,0.55,0.402,Queen,These Are The Days Of Our Lives - 2011 Remaster
The Sound of Silence_Disturbed,94,3,7,13,0,403.4288,0.0183,Negative,303,0.175,0.28,Disturbed,The Sound of Silence
Bad Day_Daniel Powter,113,28,12,28,0,8886110.5205,8886110.5205,Negative,304,0.52,0.785,Daniel Powter,Bad Day
No Angel_Birdy,50,16,5,16,0,59874.1417,59874.1417,Negative,305,0.13,0.23,Birdy,No Angel
Stole_Kelly Rowland,170,5,17,12,0,0.0067,0,Positive,306,0.477,0.718,Kelly Rowland,Stole
Black_Pearl Jam,162,5,8,6,0,0.1353,0.0498,Positive,307,0.2,0.684,Pearl Jam,Black
To Build A Home_The Cinematic Orchestra,864,48,80,112,0,78962960182680.7,0,Negative,308,0.0774,0.128,The Cinematic Orchestra,To Build A Home
I Hadn't Known (I Only Heard)_Herbert,1,0,0,0,0.3679,1,1,Equal,309,0.685,0.696,Herbert,I Hadn't Known (I Only Heard)
Hold Back The River_James Bay,93,6,1,7,0,403.4288,148.4132,Negative,310,0.506,0.715,James Bay,Hold Back The River
Been Thru_Ady Suleiman,85,6,20,9,0,0,0,Positive,312,0.736,0.388,Ady Suleiman,Been Thru
Sad_Maroon 5,73,7,4,18,0,1202604.2842,20.0855,Negative,313,0.331,0.259,Maroon 5,Sad
Come Away with Me_Norah Jones,26,2,3,1,0,0.1353,0.3679,Positive,315,0.216,0.146,Norah Jones,Come Away with Me
Resentment_Beyoncé,66,12,5,21,0,8886110.5205,1096.6332,Negative,316,0.48,0.574,Beyoncé,Resentment
Time_Pink Floyd,81,5,6,12,0,403.4288,0.3679,Negative,317,0.356,0.48,Pink Floyd,Time
We Won't Move_Arlissa,98,11,9,13,0,54.5982,7.3891,Negative,318,0.157,0.443,Arlissa,We Won't Move
Smile_Nat King Cole,32,5,12,6,0,0.0025,9e-4,Positive,319,0.263,0.136,Nat King Cole,Smile
A Sky Full of Stars_Coldplay,50,2,14,1,0,0,0,Positive,321,0.153,0.636,Coldplay,A Sky Full of Stars
Somewhere I Belong_Linkin Park,103,17,16,22,0,403.4288,2.7183,Negative,323,0.442,0.951,Linkin Park,Somewhere I Belong
Let Her Go_Passenger,448,76,88,80,0,3e-4,0,Positive,324,0.244,0.545,Passenger,Let Her Go
Mad World (Feat. Michael Andrews)_Gary Jules,6,0,0,0,0.0025,1,1,Equal,325,0.304,0.0581,Gary Jules,Mad World (Feat. Michael Andrews)
Do They Know It's Christmas? - 1984 Version_Band Aid,1,0,0,0,0.3679,1,1,Equal,326,0.349,0.642,Band Aid,Do They Know It's Christmas? - 1984 Version
Adam's Song_blink-182,85,6,4,14,0,22026.4658,7.3891,Negative,327,0.382,0.775,blink-182,Adam's Song
Tum Hi Ho_Arijit Singh,206,0,0,0,0,1,1,Equal,328,0.317,0.449,Arijit Singh,Tum Hi Ho
Heaven (featuring Do)_DJ Sammy,1,0,0,0,0.3679,1,1,Equal,329,0.569,0.942,DJ Sammy,Heaven (featuring Do)
You_Keaton Henson,41,11,6,14,0,2980.958,148.4132,Negative,330,0.139,0.151,Keaton Henson,You
She's Always a Woman_Billy Joel,60,7,12,11,0,0.3679,0.0067,Positive,331,0.384,0.324,Billy Joel,She's Always a Woman
Fellow Feeling_Porter Robinson,17,4,4,4,0,1,1,Equal,332,0.114,0.545,Porter Robinson,Fellow Feeling
The Funeral_Band of Horses,66,9,0,8,0,2980.958,8103.0839,Negative,333,0.127,0.769,Band of Horses,The Funeral
Lost Without You_Freya Ridings,1200,300,150,300,0,13937095806663797e49,13937095806663797e49,Negative,334,0.0976,0.136,Freya Ridings,Lost Without You
When We Were Young_Adele,264,4,24,8,0,0,0,Positive,335,0.273,0.594,Adele,When We Were Young
Somewhere Over The Rainbow_What A Wonderful World_Israel Kamakawiwo'ole,316,16,64,16,0,0,0,Positive,337,0.678,0.168,Israel Kamakawiwo'ole,Somewhere Over The Rainbow_What A Wonderful World
I'll Be Missing You (feat. 112)_Diddy,1,0,0,0,0.3679,1,1,Equal,338,0.925,0.479,Diddy,I'll Be Missing You (feat. 112)
Sloop John B - Remastered_The Beach Boys,1,0,0,0,0.3679,1,1,Equal,339,0.903,0.745,The Beach Boys,Sloop John B - Remastered
Hello_Adele,900,18,36,18,0,0,0,Positive,340,0.289,0.451,Adele,Hello
"Adagio for Strings, Op. 11_Samuel Barber",1,0,0,0,0.3679,1,1,Equal,341,0.0298,0.0865,Samuel Barber,"Adagio for Strings, Op. 11"
The Night We Met_Lord Huron,45,4,0,5,0,148.4132,54.5982,Negative,342,0.1,0.366,Lord Huron,The Night We Met
"My Heart Will Go On - Love Theme from ""Titanic""_Céline Dion",2,0,0,0,0.1353,1,1,Equal,343,0.0382,0.276,Céline Dion,"My Heart Will Go On - Love Theme from ""Titanic"""
Skinny Love_Birdy,232,24,44,40,0,0.0183,0,Positive,344,0.169,0.29,Birdy,Skinny Love
Say Something_A Great Big World,22,2,12,4,0,3e-4,0,Positive,345,0.0765,0.147,A Great Big World,Say Something
Hope_XXXTENTACION,90,12,13,19,0,403.4288,0.3679,Negative,346,0.225,0.457,XXXTENTACION,Hope
Castle on the Hill_Ed Sheeran,114,3,15,7,0,3e-4,0,Positive,347,0.471,0.834,Ed Sheeran,Castle on the Hill
I Fall Apart_Post Malone,109,12,9,20,0,59874.1417,20.0855,Negative,349,0.291,0.538,Post Malone,I Fall Apart
Lionheart_Demi Lovato,92,1,20,10,0,0,0,Positive,350,0.169,0.678,Demi Lovato,Lionheart
Supermarket Flowers_Ed Sheeran,3240,216,540,324,0,0,0,Positive,351,0.257,0.242,Ed Sheeran,Supermarket Flowers
Crash Land_Twin Atlantic,39,4,5,7,0,7.3891,0.3679,Negative,352,0.388,0.462,Twin Atlantic,Crash Land
Let Me In_Make Them Suffer,56,5,10,7,0,0.0498,0.0067,Positive,353,0.0998,0.964,Make Them Suffer,Let Me In
Angels_Danny Worsnop,44,0,5,0,0,0.0067,0.0067,Positive,354,0.216,0.227,Danny Worsnop,Angels
How to Save a Life_The Fray,1600,224,416,384,0,0,0,Positive,355,0.361,0.743,The Fray,How to Save a Life
My Everything_Ariana Grande,47,5,6,8,0,7.3891,0.3679,Negative,356,0.423,0.265,Ariana Grande,My Everything
Wicked Games_The Weeknd,132,6,32,12,0,0,0,Positive,357,0.326,0.591,The Weeknd,Wicked Games
Pink Bullets_The Shins,92,4,8,8,0,1,0.0183,Equal,358,0.41,0.335,The Shins,Pink Bullets
Yellow_Coldplay,48,0,13,0,0,0,0,Positive,359,0.285,0.661,Coldplay,Yellow
Rich & Sad_Post Malone,152,1,20,7,0,0,0,Positive,360,0.285,0.571,Post Malone,Rich & Sad
Arose_Eminem,275,18,32,34,0,7.3891,0,Negative,361,0.547,0.906,Eminem,Arose
Somebody Else_The 1975,85,4,15,7,0,3e-4,0,Positive,362,0.472,0.788,The 1975,Somebody Else
Malibu_Miley Cyrus,70,3,11,1,0,0,3e-4,Positive,363,0.343,0.781,Miley Cyrus,Malibu
Remedy_Adele,67,6,15,10,0,0.0067,1e-4,Positive,364,0.251,0.305,Adele,Remedy
She Will Be Loved - Radio Mix_Maroon 5,684,20,40,24,0,0,0,Positive,365,0.465,0.663,Maroon 5,She Will Be Loved - Radio Mix
Dancing On My Own_Calum Scott,272,16,64,12,0,0,0,Positive,366,0.236,0.173,Calum Scott,Dancing On My Own
Textin' My Ex_T-Pain,121,5,18,17,0,0.3679,0,Positive,367,0.109,0.546,T-Pain,Textin' My Ex
Smother_Daughter,39,7,6,11,0,148.4132,2.7183,Negative,368,0.112,0.139,Daughter,Smother
Hurt_Johnny Cash,608,96,96,160,0,6235149080811617e12,1,Negative,369,0.163,0.392,Johnny Cash,Hurt
Stop Crying Your Heart Out_Oasis,896,192,64,192,0,38877084059945954e39,38877084059945954e39,Negative,370,0.083,0.566,Oasis,Stop Crying Your Heart Out
Married Life_Michael Giacchino,1,0,0,0,0.3679,1,1,Equal,372,0.112,0.0675,Michael Giacchino,Married Life
Jealous_Labrinth,75,5,15,18,0,20.0855,0,Negative,374,0.0935,0.155,Labrinth,Jealous
Wings_Birdy,67,3,7,8,0,2.7183,0.0183,Negative,376,0.224,0.707,Birdy,Wings
Loving Is Easy_Rex Orange County,57,0,13,0,0,0,0,Positive,377,0.537,0.609,Rex Orange County,Loving Is Easy
Special Needs_Placebo,83,5,3,10,0,1096.6332,7.3891,Negative,378,0.0412,0.571,Placebo,Special Needs
Small Bump_Ed Sheeran,102,2,5,7,0,7.3891,0.0498,Negative,379,0.446,0.436,Ed Sheeran,Small Bump
Mad World (Feat. Michael Andrews)_Gary Jules,6,0,0,0,0.0025,1,1,Equal,380,0.304,0.0581,Gary Jules,Mad World (Feat. Michael Andrews)
Where's My Love - Piano Solo_SYML,2,0,0,0,0.1353,1,1,Equal,381,0.135,0.0511,SYML,Where's My Love - Piano Solo
So You Wanna Be A Superhero_Carissa's Wierd,53,2,8,6,0,0.1353,0.0025,Positive,382,0.322,0.527,Carissa's Wierd,So You Wanna Be A Superhero
