song_artist,word_count,sad_count,pos_count,neg_count,sad_total_ratio,neg_pos_ratio,sad_pos_ratio,bias,ID,valence,energy,artist_rtn,song_rtn
How to Save a Life_The Fray,1600,224,416,384,0,0,0,Positive,58,0.361,0.743,The Fray,How to Save a Life
Apologize_OneRepublic,212,104,36,80,0,12851600114359308e3,3404276049931741e14,Negative,59,0.502,0.74,OneRepublic,Apologize
Redemption Blues_Miracle Of Sound,95,19,14,30,0,8886110.5205,148.4132,Negative,60,0.153,0.668,Miracle Of Sound,Redemption Blues
Goodbye_2NE1,163,0,0,0,0,1,1,Equal,61,0.492,0.488,2NE1,Goodbye
Coat of Many Colors_Dolly Parton,88,1,13,9,0,0.0183,0,Positive,62,0.681,0.257,Dolly Parton,Coat of Many Colors
Numb_Linkin Park,232,32,4,88,0,30250773222011426e20,1446257064291.475,Negative,64,0.243,0.863,Linkin Park,Numb
Star Shopping_Lil Peep,77,0,18,2,0,0,0,Positive,65,0.323,0.471,Lil Peep,Star Shopping
Yes I'm Changing_Tame Impala,68,4,4,6,0,7.3891,1,Negative,66,0.354,0.609,Tame Impala,Yes I'm Changing
Lay It On Me_Vance Joy,55,0,6,3,0,0.0498,0.0025,Positive,67,0.53,0.663,Vance Joy,Lay It On Me
Passing Afternoon_Iron & Wine,88,4,9,8,0,0.3679,0.0067,Positive,68,0.616,0.311,Iron & Wine,Passing Afternoon
Bring Him Home_Les Misérables-Original London Cast,1,0,0,0,0.3679,1,1,Equal,70,0.0754,0.301,Les Misérables-Original London Cast,Bring Him Home
Holocene_Bon Iver,72,1,9,5,0,0.0183,3e-4,Positive,72,0.147,0.304,Bon Iver,Holocene
The Axis_Thee Oh Sees,14,1,3,2,0,0.3679,0.1353,Positive,74,0.248,0.55,Thee Oh Sees,The Axis
See You Again (feat. Charlie Puth)_Wiz Khalifa,4,0,0,0,0.0183,1,1,Equal,75,0.283,0.481,Wiz Khalifa,See You Again (feat. Charlie Puth)
No One_Alicia Keys,44,3,1,3,0,7.3891,7.3891,Negative,77,0.166,0.548,Alicia Keys,No One
Dying in LA_Panic! At The Disco,67,10,3,11,0,2980.958,1096.6332,Negative,78,0.315,0.35,Panic! At The Disco,Dying in LA
The Last Night_Skillet,47,6,2,7,0,148.4132,54.5982,Negative,79,0.542,0.856,Skillet,The Last Night
BABY_The Rose,1,0,0,0,0.3679,1,1,Equal,81,0.516,0.804,The Rose,BABY
SAD!_XXXTENTACION,765,117,27,180,0,27993405242674968e50,12204032943178407e23,Negative,82,0.473,0.613,XXXTENTACION,SAD!
Chasing Cars_Snow Patrol,172,16,16,48,0,78962960182680.7,1,Negative,83,0.136,0.592,Snow Patrol,Chasing Cars
Wicked Game_Chris Isaak,95,8,9,14,0,148.4132,0.3679,Negative,84,0.29,0.548,Chris Isaak,Wicked Game
The Edges_Catherine McGrath,92,7,13,9,0,0.0183,0.0025,Positive,85,0.445,0.846,Catherine McGrath,The Edges
Chanel_Frank Ocean,195,6,25,22,0,0.0498,0,Positive,86,0.473,0.503,Frank Ocean,Chanel
The Scientist_Coldplay,567,27,27,27,0,1,1,Equal,87,0.212,0.442,Coldplay,The Scientist
"My Heart Will Go On - Love Theme from ""Titanic""_Céline Dion",2,0,0,0,0.1353,1,1,Equal,88,0.0382,0.276,Céline Dion,"My Heart Will Go On - Love Theme from ""Titanic"""
Happier_Ed Sheeran,64,5,13,5,0,3e-4,3e-4,Positive,89,0.236,0.385,Ed Sheeran,Happier
The Nights_Avicii,128,6,4,13,0,8103.0839,7.3891,Negative,90,0.654,0.835,Avicii,The Nights
Rock 'N' Roll Suicide - 2012 Remaster_David Bowie,1,0,0,0,0.3679,1,1,Equal,91,0.272,0.308,David Bowie,Rock 'N' Roll Suicide - 2012 Remaster
Suddenly I See_KT Tunstall,137,11,12,12,0,1,0.3679,Equal,92,0.664,0.767,KT Tunstall,Suddenly I See
Wake Me up When September Ends_Green Day,57,6,3,6,0,20.0855,20.0855,Negative,93,0.146,0.814,Green Day,Wake Me up When September Ends
To Build A Home_The Cinematic Orchestra,864,48,80,112,0,78962960182680.7,0,Negative,94,0.0774,0.128,The Cinematic Orchestra,To Build A Home
Somewhere over the Rainbow_Judy Garland,33,3,4,1,0,0.0498,0.3679,Positive,96,0.106,0.224,Judy Garland,Somewhere over the Rainbow
Time To Say Goodbye (Con Te Partirò)_Andrea Bocelli,1,0,0,0,0.3679,1,1,Equal,97,0.445,0.435,Andrea Bocelli,Time To Say Goodbye (Con Te Partirò)
The Scientist_Coldplay,567,27,27,27,0,1,1,Equal,99,0.212,0.442,Coldplay,The Scientist
Six Years_Old Gray,52,1,6,1,0,0.0067,0.0067,Positive,100,0.0874,0.74,Old Gray,Six Years
White Ferrari_Frank Ocean,92,3,12,4,0,3e-4,1e-4,Positive,101,0.219,0.0924,Frank Ocean,White Ferrari
Love My Way_The Psychedelic Furs,50,3,10,4,0,0.0025,9e-4,Positive,102,0.52,0.85,The Psychedelic Furs,Love My Way
Monday Nites( I Always Stay Up Late On )_The JBJ Band,1,0,0,0,0.3679,1,1,Equal,103,0.787,0.951,The JBJ Band,Monday Nites( I Always Stay Up Late On )
Beauty and the Beast_Bugzy Malone,209,18,16,27,0,59874.1417,7.3891,Negative,104,0.384,0.734,Bugzy Malone,Beauty and the Beast
Starman - 2012 Remaster_David Bowie,1,0,0,0,0.3679,1,1,Equal,105,0.55,0.45,David Bowie,Starman - 2012 Remaster
Where's My Love - Piano Solo_SYML,2,0,0,0,0.1353,1,1,Equal,107,0.135,0.0511,SYML,Where's My Love - Piano Solo
Make You Feel My Love_Adele,51,4,10,7,0,0.0498,0.0025,Positive,108,0.0896,0.18,Adele,Make You Feel My Love
This Woman's Work_Kate Bush,48,2,10,2,0,3e-4,3e-4,Positive,112,0.169,0.113,Kate Bush,This Woman's Work
What Would You Do_Bastille,138,10,17,22,0,148.4132,9e-4,Negative,113,0.36,0.732,Bastille,What Would You Do
If It Means a Lot to You_A Day To Remember,139,0,12,8,0,0.0183,0,Positive,117,0.44,0.536,A Day To Remember,If It Means a Lot to You
Staring Through My Rear View (feat. Dwele)_2Pac,1,0,0,0,0.3679,1,1,Equal,118,0.78,0.86,2Pac,Staring Through My Rear View (feat. Dwele)
Hello_Adele,900,18,36,18,0,0,0,Positive,119,0.289,0.451,Adele,Hello
Otherside (feat. Fences) [Ryan Lewis Remix]_Macklemore & Ryan Lewis,1,0,0,0,0.3679,1,1,Equal,120,0.23,0.568,Macklemore & Ryan Lewis,Otherside (feat. Fences) [Ryan Lewis Remix]
Tintin in Tibet_Mount Eerie,140,11,20,10,0,0,1e-4,Positive,121,0.173,0.27,Mount Eerie,Tintin in Tibet
These Are The Days Of Our Lives - 2011 Remaster_Queen,2,0,0,0,0.1353,1,1,Equal,122,0.55,0.402,Queen,These Are The Days Of Our Lives - 2011 Remaster
Things_Louis Cole,33,8,6,10,0,54.5982,7.3891,Negative,123,0.263,0.479,Louis Cole,Things
If Only_Andrea Bocelli,66,0,9,0,0,1e-4,1e-4,Positive,125,0.0757,0.207,Andrea Bocelli,If Only
Lost Without You_Freya Ridings,1200,300,150,300,0,13937095806663797e49,13937095806663797e49,Negative,127,0.0976,0.136,Freya Ridings,Lost Without You
The Scientist_Coldplay,567,27,27,27,0,1,1,Equal,128,0.212,0.442,Coldplay,The Scientist
I'll Never Love Again - Film Version_Lady Gaga,1216,80,240,176,0,0,0,Positive,129,0.221,0.34,Lady Gaga,I'll Never Love Again - Film Version
I'll Never Love Again - Film Version - Radio Edit_Bradley Cooper,1,0,0,0,0.3679,1,1,Equal,129,0.221,0.34,Bradley Cooper,I'll Never Love Again - Film Version - Radio Edit
Fix You_Coldplay,423,27,81,45,0,0,0,Positive,130,0.123,0.418,Coldplay,Fix You
Don't Look Back In Anger - Remastered_Oasis,2,0,0,0,0.1353,1,1,Equal,131,0.335,0.922,Oasis,Don't Look Back In Anger - Remastered
What I've Done_Linkin Park,67,5,8,8,0,1,0.0498,Equal,132,0.287,0.93,Linkin Park,What I've Done
Iris_The Goo Goo Dolls,2,0,0,0,0.1353,1,1,Equal,133,0.497,0.715,The Goo Goo Dolls,Iris
We Don't Have To Take Our Clothes Off_Ella Eyre,88,1,25,2,0,0,0,Positive,134,0.332,0.231,Ella Eyre,We Don't Have To Take Our Clothes Off
Goodbye My Lover_James Blunt,404,44,88,68,0,0,0,Positive,135,0.273,0.261,James Blunt,Goodbye My Lover
Peak - Stripped_Anne-Marie,52,11,14,12,0,0.1353,0.0498,Positive,136,0.228,0.199,Anne-Marie,Peak - Stripped
The Unforgiven_Metallica,87,4,3,9,0,403.4288,2.7183,Negative,137,0.251,0.597,Metallica,The Unforgiven
Goodbye My Lover_James Blunt,404,44,88,68,0,0,0,Positive,138,0.273,0.261,James Blunt,Goodbye My Lover
All of Me_John Legend,77,9,10,12,0,7.3891,0.3679,Negative,139,0.331,0.264,John Legend,All of Me
Broken_Lund,105,14,9,20,0,59874.1417,148.4132,Negative,140,0.145,0.581,Lund,Broken
Let It Go_James Bay,64,9,0,12,0,162754.7914,8103.0839,Negative,141,0.246,0.311,James Bay,Let It Go
Falling Away with You_Muse,71,11,8,16,0,2980.958,20.0855,Negative,142,0.272,0.683,Muse,Falling Away with You
SAD!_XXXTENTACION,765,117,27,180,0,27993405242674968e50,12204032943178407e23,Negative,143,0.473,0.613,XXXTENTACION,SAD!
