response_id,condition,age,gender,ethnicity,nationality,sample,pomsdsf1_1,pomsdsf2_1,pomsdsf3_1,pomsdsf4_1,pomsdsf5_1,pomsdsf6_1,pomsdsf7_1,pomsdsf8_1,pomsvsf1_1,pomsvsf2_1,pomsvsf3_1,pomsvsf4_1,pomsvsf5_1,pomsdsf1_2,pomsdsf2_2,pomsdsf3_2,pomsdsf4_2,pomsdsf5_2,pomsdsf6_2,pomsdsf7_2,pomsdsf8_2,pomsvsf1_2,pomsvsf2_2,pomsvsf3_2,pomsvsf4_2,pomsvsf5_2,pomsdsf1_3,pomsdsf2_3,pomsdsf3_3,pomsdsf4_3,pomsdsf5_3,pomsdsf6_3,pomsdsf7_3,pomsdsf8_3,pomsvsf1_3,pomsvsf2_3,pomsvsf3_3,pomsvsf4_3,pomsvsf5_3,muisc_info4_1,lpq1_1,lpq2_1,lpq3_1,rrq1_1,rrq2_1,rrq3_1,rrq4_1,rrq5_1,rrq6_1,rrq7_1,rrq8_1,rrq9_1,rrq10_1,rrq11_1,rrq12_1,mars1_1,mars2_1,mars3_1,mars4_1,mars5_1,mars6_1,mars7_1,mars8_1,mars9_1,mars10_1,mars11_1,mars12_1,mars13_1,mars14_1,mars15_1,self_selected_song1,rrq6_orig,rrq9_orig,rrq10_orig,sad_baseline,sad_postinduction,sad_postlistening,pos_baseline,pos_postinduction,pos_postlistening,rum
R_2TttfML9o4XGuzX,control,20,1,1,Australian,1,2,1,2,1,1,1,2,1,1,1,1,1,1,2,3,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,4,4,5,4,4,4,1,4,4,4,4,2,7,7,2,1,4,6,6,6,6,2,5,5,2,1,7,NA,2,2,2,11,12,10,5,5,5,3.6666666666666665
R_3iDVvIPcXuv0x8F,self,21,2,1,Australian,1,2,1,2,1,1,1,1,1,2,2,2,2,1,2,3,2,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,NA,NA,3,2,3,2,1,2,4,2,2,4,5,4,4,4,4,4,4,4,4,2,4,4,6,4,1,2,5,6,5,6,2,4,5,2,2,2,Landslide - Fleetwood Mac,2,2,2,10,12,NA,9,6,11,3.9166666666666665
R_2YysfRD7Xi5SQDU,sad,22,1,1,Australian,1,1,1,1,1,1,1,1,1,2,2,3,2,2,1,1,1,1,1,1,1,1,2,2,3,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,4,2,2,2,2,2,2,5,5,5,5,5,5,4,5,5,5,5,2,1,2,4,4,5,3,2,4,4,1,1,4,NA,1,1,2,8,8,9,11,11,10,4.166666666666667
R_2rjQEXaHwnXUkKm,sad,18,1,1,English,1,2,1,1,1,1,1,1,1,3,2,2,3,2,3,4,3,2,3,2,3,2,1,1,1,1,2,3,4,4,4,4,3,4,4,1,2,2,1,2,5,4,4,4,3,2,2,4,4,4,4,4,4,3,4,4,5,6,2,2,2,5,5,5,5,2,4,5,3,2,4,NA,2,2,3,9,22,30,12,6,8,3.5
R_23ggtXck5CDSygU,self,20,2,1,Australian,1,4,2,4,1,4,1,1,3,2,3,1,1,1,3,5,4,4,4,3,3,3,1,1,1,1,1,4,4,4,3,3,4,3,3,1,1,2,2,1,2,2,4,3,4,5,5,5,4,5,5,5,5,5,4,5,6,6,1,1,4,7,6,6,6,1,7,5,2,4,6,Bullshit - Dune Rats,1,1,1,20,29,28,8,5,7,4.75
R_3fjALh7fVioRD2l,self,19,2,2,Singaporean,1,1,1,1,1,1,1,1,1,4,3,3,2,1,1,3,2,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,4,3,4,4,2,1,4,2,3,4,5,4,5,5,4,4,5,4,4,4,3,4,5,4,1,2,5,5,4,3,1,4,6,6,1,3,Ain't Your Mama - Jennifer Lopez,2,2,2,8,12,8,13,7,17,4.25
R_2CpvDX1J2o24i8I,control,18,1,1,Australian,1,1,1,2,1,2,1,1,1,2,2,2,2,2,2,3,2,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,1,1,NA,NA,NA,NA,4,4,4,4,4,4,5,4,4,5,3,3,5,4,2,2,4,4,5,5,5,3,3,6,3,2,5,NA,2,2,1,10,12,8,10,10,8,4
R_tFmlHvqcf3lHv21,control,18,2,1,Australian,1,1,1,1,1,1,1,1,1,2,1,2,2,1,3,3,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,NA,NA,NA,NA,3,4,4,5,4,4,4,4,3,4,2,3,5,5,3,1,4,6,6,5,5,2,4,4,3,3,4,NA,2,3,2,8,16,8,8,5,6,3.6666666666666665
R_1oiEU5RIOv57OCj,self,19,1,1,NA,1,1,1,1,1,1,1,1,1,4,5,5,4,4,3,2,2,1,1,1,1,1,2,3,2,2,2,1,1,1,1,1,1,1,1,4,5,4,4,4,2,3,2,2,3,2,2,2,2,2,2,3,3,3,2,2,5,5,2,2,3,5,5,5,4,2,4,5,3,2,3,Say it - Flume,4,3,3,8,12,8,22,11,21,2.3333333333333335
R_xlL6O5R5QmUIdy1,self,20,1,2,Hong Kong,1,1,1,1,1,1,1,1,1,5,4,5,5,4,4,5,4,3,2,4,5,2,2,3,3,2,2,2,2,2,1,1,2,1,1,4,5,5,5,4,3,5,1,4,2,4,5,4,2,4,5,4,3,1,4,2,7,7,3,5,5,7,7,6,7,2,7,6,2,5,7,Madness - Muse,2,3,5,8,29,12,23,12,23,3.3333333333333335
R_w6Q11PUxw38ulX3,sad,21,2,1,Ecuadorian,1,3,2,2,2,1,1,2,2,4,4,4,4,4,4,4,3,2,2,1,2,2,3,3,3,3,3,3,3,3,2,1,1,2,2,2,2,2,2,2,4,3,3,4,2,4,4,4,4,4,4,4,3,4,3,4,6,6,2,2,2,6,6,6,6,2,7,6,3,2,6,NA,2,3,2,15,20,17,20,15,10,3.6666666666666665
R_1eyrcZHLfhzrmYc,sad,18,1,1,Australian,1,2,1,1,2,2,1,1,1,3,3,4,3,2,4,5,4,3,2,1,1,1,2,2,2,2,2,4,4,5,4,4,4,3,2,2,1,1,1,1,5,5,2,5,4,4,4,4,4,4,4,5,4,5,4,3,6,6,3,1,4,5,6,5,4,3,4,6,1,4,5,NA,2,2,1,11,21,30,15,10,6,4.083333333333333
R_1jvOIZ8VQNvNvhr,control,18,1,1,South African,1,1,1,1,1,1,1,1,1,4,4,5,5,4,3,2,1,1,1,1,1,1,3,4,4,3,3,1,1,1,1,1,1,1,1,4,4,3,3,4,NA,NA,NA,NA,4,4,2,3,1,1,2,2,2,2,2,2,6,6,5,1,2,6,7,6,5,2,7,5,1,4,7,NA,5,4,4,8,11,8,22,17,18,2.25
R_1ovhwhXUdnfd9ic,sad,20,2,1,Australian,1,1,1,1,1,1,1,1,1,3,3,3,3,3,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,2,1,1,3,2,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,5,2,2,2,5,4,3,5,2,5,4,2,2,2,NA,2,2,2,8,11,12,15,10,7,4
R_AvbUskVBnWkNWnv,self,20,1,1,Australian,1,4,3,3,3,2,2,2,2,2,3,4,4,2,2,2,3,1,1,2,1,2,1,1,1,1,1,2,1,2,1,2,1,1,2,2,1,1,1,1,3,4,2,4,4,2,4,4,4,4,4,4,4,5,3,4,6,5,3,2,4,4,4,5,5,3,5,5,2,1,5,Holy Roller - Thao,2,2,1,21,14,12,15,5,6,3.8333333333333335
