id,Age,Gender,Sample,Condition,SelfSelected_Song1,SelfSelected_Song2,track_popularity,loudness,speechiness,acousticness,instrumentalness,liveness,valence,mode,energy,tempo,key,danceability,MusicInfo4_1,Rumination,Timepoint,Sadness
43,21,Male,Community sample,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4166666666666665,Baseline,4
44,20,Male,Community sample,ESM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6666666666666665,Baseline,3
45,22,Female,Community sample,ESM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.166666666666667,Baseline,3
46,22,Male,First year student,ESM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.166666666666667,Baseline,0
47,20,Male,First year student,ESM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.3333333333333335,Baseline,3
48,18,Male,First year student,ESM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3.8333333333333335,Baseline,0
49,19,Female,First year student,ESM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.5833333333333335,Baseline,2
50,23,Female,Community sample,ESM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3.8333333333333335,Baseline,0
51,19,Female,First year student,ESM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.4166666666666665,Baseline,0
52,23,Male,Community sample,ESM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,Baseline,0
53,18,Female,First year student,ESM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.5,Baseline,0
54,18,Male,First year student,ESM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4.083333333333333,Baseline,3
55,20,Female,Community sample,ESM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.083333333333333,Baseline,5
56,18,Male,First year student,ESM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3.5,Baseline,1
57,20,Female,Community sample,ESM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,Baseline,6
58,19,Female,First year student,ESM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.333333333333333,Baseline,2
59,19,Female,First year student,ESM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.8333333333333335,Baseline,0
60,18,Female,Community sample,ESM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4.416666666666667,Baseline,2
61,18,Male,First year student,ESM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,Baseline,1
62,24,Female,Community sample,ESM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.4166666666666665,Baseline,0
63,21,Male,First year student,ESM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.333333333333333,Baseline,1
64,23,Female,First year student,ESM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.9166666666666665,Baseline,1
65,23,Female,First year student,ESM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2.4166666666666665,Baseline,0
66,21,Female,Community sample,ESM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,Baseline,23
67,20,Female,First year student,ESM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,Baseline,0
68,25,Female,First year student,ESM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3.75,Baseline,2
69,18,Female,First year student,ESM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.25,Baseline,1
70,22,Female,First year student,ESM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2.5833333333333335,Baseline,3
71,21,Female,Community sample,ESM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.583333333333333,Baseline,0
72,18,Male,First year student,ESM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.5833333333333335,Baseline,8
73,21,Female,First year student,ESM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.6666666666666665,Baseline,7
74,18,Female,First year student,ESM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.9166666666666665,Baseline,1
75,18,Female,First year student,ESM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.5,Baseline,0
76,21,Female,First year student,ESM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.8333333333333335,Baseline,0
77,19,Female,First year student,ESM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.583333333333333,Baseline,16
78,21,Male,First year student,ESM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2.75,Baseline,3
79,18,Female,First year student,ESM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4.5,Baseline,9
80,19,Female,First year student,ESM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.75,Baseline,5
81,19,Female,First year student,ESM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.9166666666666665,Baseline,3
82,21,Male,Community sample,ESM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.9166666666666665,Baseline,5
83,25,Male,Community sample,ESM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3.5833333333333335,Baseline,26
84,18,Male,First year student,ESM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.3333333333333335,Baseline,1
85,21,Male,Community sample,ESM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6666666666666665,Baseline,1
86,23,Male,Community sample,ESM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9166666666666665,Baseline,4
87,18,Male,Community sample,SSM,Your Song - Elton John,Hotel California - Eagles,63,-12.808,0.0326,0.851,7.04e-6,0.0966,0.289,major,0.27,128.221,D#,0.551,2,3.4166666666666665,Baseline,2
88,20,Female,First year student,SSM,/,/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.3333333333333335,Baseline,10
89,22,Female,First year student,SSM,Good boy-Bigbang,We like 2 party-Bigbang,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3.25,Baseline,13
90,18,Male,First year student,SSM,One more time- Daft Punk,CHVRCHES- Leave a trace,76,-8.618,0.133,0.0193,0,0.332,0.476,major,0.697,122.752,D,0.611,2,4,Baseline,3
91,20,Female,First year student,SSM,Bullshit - Dune Rats,NA,52,-6.476,0.105,9.19e-5,0,0.352,0.419,major,0.967,139.002,B,0.499,2,4.75,Baseline,12
92,21,Female,First year student,SSM,Landslide - Fleetwood Mac,St Jude - Florence & The Machine,75,-22.32,0.0318,0.883,2.23e-4,0.117,0.423,minor,0.161,159.375,G,0.414,2,3.9166666666666665,Baseline,2
93,20,Male,First year student,SSM,Lullaby - Cat Empire,NA,38,-8.196,0.0445,0.0477,2.48e-4,0.611,0.558,major,0.7,105.897,C#,0.621,1,4,Baseline,3
94,21,Female,Community sample,SSM,Stay Up Late - Talking Heads,Crocodiles - Echo and The Bunnymen,38,-5.814,0.0506,0.00789,4.53e-4,0.0321,0.91,minor,0.679,111.272,B,0.596,2,3,Baseline,0
95,20,Female,Community sample,SSM,Daydreaming- Radiohead,Decks Dark- Radiohead,63,-13.207,0.0323,0.968,0.857,0.126,0.113,minor,0.263,137.848,A,0.299,4,3.8333333333333335,Baseline,0
96,21,Male,Community sample,SSM,Rebirth - Atlanta Awaits,Awake - Mutiny Within,36,-2.932,0.184,5.44e-4,4.21e-5,0.0524,0.435,minor,0.981,164.95,G,0.461,1,3.25,Baseline,0
97,21,Male,Community sample,SSM,Nothing But The Blood - All Sons & Daughters,Little Do You Know - Alex & Sierra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.25,Baseline,14
98,20,Female,First year student,SSM,Arsonists Lullaby- Hozier,NA,62,-10.666,0.0362,0.673,0.0745,0.118,0.184,minor,0.373,64.831,F#,0.463,3,3.8333333333333335,Baseline,0
99,19,Female,First year student,SSM,Fast Car - Tracy Chapman,Fred Astaire - San Cisco,78,-15.523,0.037,0.313,0,0.131,0.194,minor,0.292,103.951,E,0.711,2,4,Baseline,3
100,19,Female,Community sample,SSM,Butterfly - Jason Mraz,Kimi no Shiranai Monogatari (Piano ver.) - Supercell,54,-7.207,0.0665,0.147,0,0.183,0.806,minor,0.658,108.105,A#,0.718,2,4,Baseline,1
101,19,Male,First year student,SSM,Say it - Flume,NA,60,-6.83,0.0295,0.0685,3.72e-6,0.0617,0.271,minor,0.531,74.938,D#,0.597,2,2.3333333333333335,Baseline,0
102,21,Female,First year student,SSM,No Promises-Shayne Ward,NA,50,-6.086,0.0257,0.529,0,0.123,0.198,major,0.496,79.81,E,0.506,4,3,Baseline,1
103,22,Female,First year student,SSM,Keep the Streets Empty For Me - Fever Ray,NA,45,-11.129,0.0307,0.782,0.891,0.0856,0.311,major,0.288,158.04,A,0.584,3,4.25,Baseline,10
104,20,Male,First year student,SSM,Dani California - Red Hot Chili Peppers,NA,77,-4.751,0.0409,0.017,1.05e-5,0.267,0.735,minor,0.865,96.161,A,0.553,2,2.4166666666666665,Baseline,5
105,19,Female,Community sample,SSM,Lean On (cover) - Christina Grimmie,Counting stars (cover) - Christina Grimmie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,Baseline,3
106,21,Female,Community sample,SSM,Never stop - safety suit,Never stop - Wedding Version Cover,38,-4.369,0.0317,0.00316,3.07e-6,0.102,0.222,major,0.704,145.054,E,0.361,3,4.916666666666667,Baseline,7
107,18,Male,First year student,SSM,ADHD- Kendrick lamar,Bitch dont kill my vibe - kendrick lamar,72,-6.883,0.24,0.33,0,0.108,0.582,major,0.799,157.74,A,0.609,3,3.4166666666666665,Baseline,0
108,23,Female,Community sample,SSM,Find me - Hyosung,I am the best - 2ne1,37,-1.994,0.0343,0.0236,0,0.134,0.647,minor,0.914,124.024,F,0.66,3,5,Baseline,16
109,18,Male,First year student,SSM,Run - Leona Lewis,NA,63,-6.166,0.0292,0.43,5.61e-6,0.122,0.0932,minor,0.461,142.434,F,0.302,4,3.8333333333333335,Baseline,4
110,19,Female,First year student,SSM,I'm not the only one- Sam Smith,Pictures of You- The Cure,82,-5.795,0.0361,0.529,2.04e-5,0.0766,0.493,major,0.485,82.001,F,0.677,5,4.083333333333333,Baseline,1
